,date,areaName,areaCode,newCasesByPublishDate,cumCasesByPublishDate,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
0,2021-12-30,England,E92000001,146604,10828575,,
1,2021-12-29,England,E92000001,138287,10683026,24.0,129041.0
2,2021-12-28,England,E92000001,117093,10545584,85.0,129017.0
3,2021-12-27,England,E92000001,98515,10429274,73.0,128932.0
4,2021-12-26,England,E92000001,103558,10332128,68.0,128859.0
5,2021-12-25,England,E92000001,113628,10229538,49.0,128791.0
6,2021-12-24,England,E92000001,105069,10115910,80.0,128742.0
7,2021-12-23,England,E92000001,107055,10011650,94.0,128662.0
8,2021-12-22,England,E92000001,95795,9905451,99.0,128568.0
9,2021-12-21,England,E92000001,80916,9810446,79.0,128469.0
10,2021-12-20,England,E92000001,76065,9731126,91.0,128390.0
11,2021-12-19,England,E92000001,71702,9655061,84.0,128299.0
12,2021-12-18,England,E92000001,82426,9584269,86.0,128215.0
13,2021-12-17,England,E92000001,83693,9503176,103.0,128129.0
14,2021-12-16,England,E92000001,77299,9420017,86.0,128026.0
15,2021-12-15,England,E92000001,68868,9343520,94.0,127940.0
16,2021-12-14,England,E92000001,53093,9275513,107.0,127846.0
17,2021-12-13,England,E92000001,44931,9222932,86.0,127739.0
18,2021-12-12,England,E92000001,40713,9178705,102.0,127653.0
19,2021-12-11,England,E92000001,48540,9138773,75.0,127551.0
20,2021-12-10,England,E92000001,48908,9092016,87.0,127476.0
21,2021-12-09,England,E92000001,43550,9043108,97.0,127389.0
22,2021-12-08,England,E92000001,44019,9000391,92.0,127292.0
23,2021-12-07,England,E92000001,38866,8957091,94.0,127200.0
24,2021-12-06,England,E92000001,41525,8918807,108.0,127106.0
25,2021-12-05,England,E92000001,37396,8877883,91.0,126998.0
26,2021-12-04,England,E92000001,39949,8841194,115.0,126907.0
27,2021-12-03,England,E92000001,43888,8802632,108.0,126792.0
28,2021-12-02,England,E92000001,45880,8758744,84.0,126684.0
29,2021-12-01,England,E92000001,41519,8713738,103.0,126600.0
